ts,latitude,longitude,O_Hum,O_Temp,PH,TDS,W_Temp
2022-11-22 08:21:28,22.625266504508858,120.29873388752162,47.0,28.0,7.8,120.0,30.0
2022-11-22 08:21:29,22.633166504508857,120.29813388752162,38.0,24.0,9.0,407.0,28.0
2022-11-22 08:21:30,22.629066504508856,120.29473388752162,36.0,29.0,7.0,147.0,25.0
2022-11-22 08:21:31,22.61996650450886,120.30373388752162,75.0,31.0,9.0,282.0,28.0
2022-11-22 08:21:32,22.63216650450886,120.30363388752163,87.0,21.0,6.0,144.0,24.0
2022-11-22 08:21:33,22.63236650450886,120.29123388752163,61.0,23.0,5.0,447.0,28.0
2022-11-22 08:21:34,22.61736650450886,120.30283388752161,31.0,25.0,5.0,227.0,23.0
2022-11-22 08:21:36,22.62166650450886,120.29313388752162,89.0,32.0,5.0,301.0,20.0
2022-11-22 08:21:37,22.61716650450886,120.30793388752163,41.0,23.0,9.0,126.0,29.0
2022-11-22 08:21:38,22.63106650450886,120.30333388752162,42.0,23.0,7.0,104.0,25.0
2022-11-22 08:21:39,22.62176650450886,120.29363388752162,96.0,26.0,8.0,285.0,33.0
2022-11-22 08:21:40,22.615966504508858,120.29953388752162,97.0,26.0,8.0,188.0,21.0
2022-11-22 08:21:41,22.620766504508858,120.29223388752162,63.0,32.0,8.0,160.0,30.0
2022-11-22 08:21:42,22.618966504508858,120.29223388752162,62.0,32.0,9.0,395.0,28.0
2022-11-22 08:21:43,22.626566504508858,120.30043388752162,35.0,21.0,8.0,237.0,34.0
2022-11-22 08:21:44,22.62926650450886,120.30273388752163,30.0,30.0,5.0,350.0,21.0
2022-11-22 08:21:45,22.629966504508857,120.30263388752162,56.0,26.0,9.0,293.0,21.0
2022-11-22 08:21:47,22.62476650450886,120.30503388752162,43.0,30.0,9.0,393.0,34.0
2022-11-22 08:21:48,22.61716650450886,120.29323388752162,99.0,26.0,9.0,175.0,31.0
2022-11-22 08:21:49,22.62456650450886,120.29153388752162,42.0,30.0,7.0,85.0,25.0
2022-11-22 08:21:50,22.617466504508858,120.29853388752161,70.0,30.0,7.0,58.0,30.0
2022-11-22 08:21:51,22.62026650450886,120.30763388752162,60.0,27.0,9.0,67.0,30.0
2022-11-22 08:21:52,22.633566504508856,120.29363388752162,61.0,22.0,7.0,53.0,34.0
2022-11-22 08:21:53,22.62636650450886,120.29903388752162,49.0,21.0,8.0,337.0,27.0
2022-11-22 08:21:54,22.61726650450886,120.30403388752163,43.0,30.0,9.0,396.0,25.0
2022-11-22 08:21:55,22.63416650450886,120.28993388752163,98.0,26.0,7.0,252.0,27.0
2022-11-22 08:21:57,22.628166504508858,120.29263388752162,37.0,29.0,9.0,394.0,24.0
2022-11-22 08:21:58,22.633366504508857,120.29743388752162,40.0,30.0,6.0,412.0,34.0
2022-11-22 08:21:59,22.619366504508857,120.29343388752162,58.0,22.0,6.0,319.0,32.0
2022-11-22 08:22:00,22.631366504508858,120.29523388752162,44.0,24.0,5.0,348.0,31.0
2022-11-22 08:22:10,22.625266504508858,120.29873388752162,47.0,28.0,7.8,120.0,30.0
2022-11-22 08:22:11,22.631466504508857,120.29563388752162,93.0,21.0,7.0,394.0,20.0
2022-11-22 08:22:12,22.618266504508856,120.30823388752162,98.0,28.0,7.0,101.0,21.0
2022-11-22 08:22:13,22.632766504508858,120.30563388752162,88.0,29.0,5.0,265.0,20.0
2022-11-22 08:22:14,22.616066504508858,120.29353388752162,35.0,30.0,5.0,134.0,24.0
2022-11-22 08:22:16,22.62176650450886,120.29863388752162,41.0,29.0,5.0,84.0,22.0
2022-11-22 08:22:17,22.622266504508858,120.30173388752162,57.0,29.0,8.0,25.0,20.0
2022-11-22 08:22:18,22.62036650450886,120.30713388752162,37.0,24.0,5.0,347.0,33.0
2022-11-22 08:22:19,22.623666504508858,120.29383388752161,41.0,22.0,7.0,252.0,28.0
2022-11-22 08:22:20,22.616366504508857,120.29293388752163,88.0,21.0,9.0,78.0,32.0
2022-11-22 08:22:21,22.624466504508856,120.29513388752162,60.0,20.0,8.0,1.0,34.0
2022-11-22 08:22:22,22.622166504508858,120.30263388752162,58.0,25.0,8.0,428.0,24.0
2022-11-22 08:22:23,22.616066504508858,120.30773388752162,83.0,27.0,9.0,156.0,27.0
2022-11-22 08:22:24,22.622566504508857,120.30183388752162,72.0,26.0,9.0,1.0,20.0
2022-11-22 08:22:25,22.61866650450886,120.29973388752163,96.0,28.0,7.0,120.0,24.0
2022-11-22 08:22:27,22.622266504508858,120.30293388752162,72.0,20.0,7.0,347.0,34.0
2022-11-22 08:22:28,22.633566504508856,120.29023388752162,87.0,27.0,6.0,218.0,20.0
2022-11-22 08:22:29,22.626866504508858,120.28923388752162,40.0,22.0,5.0,282.0,31.0
2022-11-22 08:22:30,22.63396650450886,120.28913388752161,59.0,20.0,7.0,136.0,21.0
2022-11-22 08:22:31,22.62636650450886,120.30263388752162,84.0,20.0,9.0,54.0,20.0
2022-11-22 08:22:32,22.62636650450886,120.29373388752163,97.0,25.0,6.0,273.0,23.0
2022-11-22 08:22:33,22.631366504508858,120.29873388752162,44.0,22.0,7.0,308.0,22.0
2022-11-22 08:22:34,22.634266504508858,120.29203388752163,71.0,32.0,9.0,239.0,23.0
2022-11-22 08:22:35,22.62796650450886,120.29063388752162,37.0,33.0,7.0,47.0,22.0
2022-11-22 08:22:36,22.626766504508858,120.29593388752163,95.0,32.0,9.0,27.0,29.0
2022-11-22 08:22:38,22.630366504508856,120.29153388752162,53.0,30.0,9.0,312.0,26.0
2022-11-22 08:22:39,22.625866504508856,120.30003388752162,44.0,32.0,6.0,150.0,26.0
2022-11-22 08:22:40,22.62026650450886,120.30313388752162,88.0,28.0,6.0,173.0,29.0
2022-11-22 08:22:41,22.630566504508856,120.29813388752162,32.0,29.0,6.0,363.0,32.0
2022-11-22 08:22:42,22.628666504508857,120.30403388752163,91.0,26.0,8.0,248.0,20.0
